stamp,state_id,v_x,v_y
0.67,,0.8720011140199395,0.7926518321444994
0.68,,1.1299332833559306,1.1659753460658977
0.69,,0.6343347885875376,0.8095913232950712
0.7,,0.20187423451507497,0.7906994419574582
0.71,,0.5063870771293257,0.9621243963240367
0.72,,0.7769171378562288,1.337778779012396
0.73,,0.7118534687505244,0.9075590931190529
0.74,,0.7920691097192736,0.6915119600318357
0.75,,0.6236425253377756,1.0798557033477607
0.76,,0.9355876835511998,0.5257890984529233
0.77,,0.3440358271817141,0.6965937480148602
0.78,,1.0705589899679409,0.70220798169294
0.79,,1.2626245391775868,0.4587465702649745
0.8,,0.7254289209000558,1.1360326903387075
0.81,,0.8204781799147325,1.153333128303851
0.82,,0.7423990075827267,1.003434302899597
0.83,,0.9642490748711254,1.2226383401629966
0.84,,0.3979897703374681,0.4960270318725698
0.85,,0.44319471915612124,0.5543731706339015
0.86,,0.3793928280718106,0.4867275124683539
0.87,,0.3039678945047821,0.9595845802505855
0.88,,0.6607589903821979,0.1970824418078257
0.89,,0.9893032066457976,0.528656284059108
0.9,,1.170755206865619,0.28844944698860286
0.91,,1.0475594109558979,0.4200856604831499
0.92,,0.9199136783371074,0.029046056254037445
0.93,,1.1706815134016761,0.5852896378768931
0.94,,1.0876808138921836,0.6498275502677868
0.95,,1.0657854359156775,0.5494493484020148
0.96,,1.0542615474103854,0.0961511885002459
0.97,,0.4831349853558975,0.7947145549008399
0.98,,0.8181081180544061,0.48468412623421625
0.99,,0.7792275839137636,0.707349271064363
1.0,,0.5176773370840067,0.6812682841979247
1.01,,0.6157138771001974,0.8685652945955107
1.02,,1.2081225748712463,0.7898143392225493
1.03,,0.5157145249876787,0.38770969464125493
1.04,,0.4023833755286371,0.04446572563494183
1.05,,0.4586894697986557,0.5486242586864573
1.06,,0.700811836240442,0.7518977085897318
1.07,,1.3572621828633213,0.152068808895706
1.08,,1.029370122277819,0.4865379798893804
1.09,,0.5104884238485929,0.40658509615073496
